Gene,Ancestry_Category,EUR_Associated,SAS_Associated,Associated_Traits_Count,Associated_Traits_List,Associated_Variants_Count
TMEM161B-DT,Both (Shared),True,True,89,Bitter alcoholic beverage consumption; Body size at age 10; Depressive symptoms; General cognitive ability; Omega-3 fatty acids to total fatty acids percentage; Predicted visceral adipose tissue; Ratio of docosahexaenoic acid to total fatty acid levels; Smoking initiation (ever regular vs never regular); Smoking initiation (ever regular vs never regular) (MTAG); Spherical equivalent,46
ANKS1B,Both (Shared),True,True,65,Adult body size; COVID-19 (hospitalized vs population); Childhood body mass index; Left-handedness; Metabolic syndrome; Metabolite levels (HVA/5-HIAA ratio); Personality traits or cognitive traits (multivariate analysis); Sex hormone-binding globulin levels adjusted for BMI; Smoking initiation (ever regular vs never regular) (MTAG); Smoking status,71
TUSC3,Both (Shared),True,True,44,Adult body size; Cognitive function (delayed memory); Femur total bone mineral density x gut microbiota (genus Lactococcus) interaction; Highest math class taken (MTAG); LGALS3BP protein levels; Metabolic syndrome; Obsessive-compulsive disorder; Response to cytadine analogues (cytosine arabinoside); Response to paliperidone in schizophrenia (PANSS score); Self-reported math ability (MTAG),52
Y_RNA,Both (Shared),True,True,2248,Ankle-brachial index; Bladder cancer; Cholesterol to Total Lipids in Very Large VLDL percentage; Cysteinylglycine disulfide levels; Edge-level brain connectivity (multivariate analysis); Hemoglobin concentration; Interleukin-18 levels; Memory performance in cognitive impairment; Relative abundance of the human milk microbiota (HMM) Pantoea sp.; TPE interval (resting),2708
ACTBP15,Both (Shared),True,True,15,DBI/TMSB10 protein level ratio; Depression; Feeling nervous; General cognitive ability; Height; Intelligence; Major depressive disorder; Neurociticism; Neutrophil-to-lymphocyte ratio; Schizophrenia (MTAG),12
PCNX4-DT,European-Only,True,False,2,General cognitive ability; Height (baseline),3
LRRC9,European-Only,True,False,2,General cognitive ability; Height (baseline),2
LNC-LBCS,Both (Shared),True,True,97,"Blood urea nitrogen levels; Externalizing behaviour (multivariate analysis); General cognitive ability; Major depressive disorder; Prostate cancer (early onset); Sex hormone-binding globulin levels adjusted for BMI; TPMT protein levels; Type 2 diabetes; Ulcerative colitis; Weight (minimum, inv-normal transformed)",84
DERA,Both (Shared),True,True,25,Astrocytoma; Bone mineral density (hip) and age at menarche; Drinks per week; Fluid intelligence score (baseline); General cognitive ability; Highest math class taken (MTAG); Medication use (antidepressants); Personality traits or cognitive traits (multivariate analysis); Psychological resilience (outcome-based) in high deployment stress exposure; Smoking initiation,18
APP-DT,Both (Shared),True,True,5,Alzheimer's disease; General cognitive ability; Gut microbial network clusters (Salmon (at 1 year) x Household furry pet dog (3 Months) interaction; Time to first high-risk recurrence in BCG-treated non-muscle invasive bladder cancer; Tonsillectomy,5
CYYR1-AS1,European-Only,True,False,16,Airflow obstruction; Baseline memory in impaired cognition; Baseline memory in impaired cognition x sex interaction; Chronic rhinosinusitis; General cognitive ability; HDL cholesterol levels; Oligodendroglioma; PHQ score x Polysocial risk score (PsRS) interaction; Phosphatidylinositol (15-MHDA_20:4) levels/Phosphatidylinositol (17:0_20:4) levels; Tonsillectomy,15
RN7SKP68,Both (Shared),True,True,8,Bone mineral density mean; Diabetes (standard GWA); Fluid intelligence score (baseline); General cognitive ability; Schizophrenia; Type 2 diabetes; Waist circumference adjusted for body mass index; interferon-related traits,42
SLCO6A1,Both (Shared),True,True,18,Albumin levels; Alcohol consumption x traumatic event in childhood (felt hated by family member) interaction; Bone mineral density mean; Cognitive decline (age-related); Height (baseline); Mean arterial pressure; Metabolic syndrome; Type 2 diabetes; Waist-to-hip ratio adjusted for BMI; interferon-related traits,80
ASIC2,Both (Shared),True,True,86,"COVID-19 (hospitalized vs tested, not hospitalized); Coronary heart disease; General cognitive ability; Gut microbial network clusters (MidnightBlue (at 1 year) x Household furry pet cat (1 Year) interaction; Gut microbiome abundance (class Streptococcus salivarius (at 1 year) x Exclusive Breastfeeding (6 Months) interaction; Gut microbiome abundance (class Veillonella atypica (at 3 months) x Any household furry Pets (3 Months)  interaction; Prostate cancer (early onset); Reaction time; Self-reported math ability; vWF and FVIII levels",88
TFDP2,Both (Shared),True,True,91,"Childhood wheezing (late-onset); General cognitive ability; Glomerular filtration rate; Glomerular filtration rate (creatinine); Hematological traits (multi-trait analysis); Lymphocytic thyroiditis; Mean reticulocyte volume; Serum uric acid levels; Volume of left lateral nucleus; estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed)",73
SATB2-AS1,Both (Shared),True,True,32,Circulating MEPE levels; Edge-level brain connectivity (multivariate analysis); Facial morphology (segment 18); Fluid intelligence score (baseline); General cognitive ability; Heel bone mineral density; Highest math class taken (MTAG); Intelligence (MTAG); Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2); Whole body fat free mass (UKB data field 23101),20
LINC01877,Both (Shared),True,True,42,Cigarette consumption x hours spent using computers interaction; Circulating MEPE levels; Fluid intelligence score (baseline); Free Cholesterol to Cholesteryl Esters in Small HDL ratio; General cognitive ability; Heel bone mineral density; Highest math class taken (MTAG); MEPE protein levels; Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2); Whole body fat free mass (UKB data field 23101),35
ERAP1,Both (Shared),True,True,72,CLEC4C protein levels; Circulating CD8A levels (id: OID00772_OID21018); Circulating FCN2 levels; Circulating RET levels; FCN2 protein levels; Frontal fibrosing alopecia; Hematological traits (multi-trait analysis); Inflammatory skin disease; Pulse pressure; Serine/threonine-protein kinase DCLK1 levels,91
ERAP2,Both (Shared),True,True,70,Circulating CD8A levels (id: OID00772_OID21018); Circulating CSF1 levels (id: OID00562_OID20719); Circulating TGFB1 levels (id: OID00785_OID20621); Frontal fibrosing alopecia; GLRX protein levels; General cognitive ability; Granulysin levels; Neutrophil count; Pulse pressure; Serine/threonine-protein kinase DCLK1 levels,72
COX7B2,European-Only,True,False,10,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile); Duration to complete alphanumeric path task (baseline); General cognitive ability; Glycerol 3-phosphate levels; Interleukin-2 receptor antagonist levels; Migraine - clinic-based; Post bronchodilator FEV1; Smoking initiation; Substance use disorder; Water consumption (glasses per day) (UKB data field 1528),10
BLNK,Both (Shared),True,True,20,ANK2 protein levels; Circulating TCL1A levels; Externalizing behaviour (multivariate analysis); General cognitive ability; Hematological traits (multi-trait analysis); Mean corpuscular volume; Mean spheric corpuscular volume; Memory decline; Serum O-methylascorbate levels  x sex interaction; TCTN3 protein levels,44
LINC02667,Both (Shared),True,True,88,GLIPR1 protein levels; General cognitive ability; Glioblastoma; Hip shape mode 3; Neuropathic ocular pain; Nicotine dependence symptom count; Platelet-derived growth factor BB levels; Stuttering; T1 CAT volume L IX; Weight,101
MGMT,Both (Shared),True,True,122,Drink temperature; GAD score x Polysocial risk score (PsRS) interaction; General cognitive ability; Glioblastoma; Hip shape mode 3; Iris color (a* coordinate); Neuropathic ocular pain; Nicotine dependence symptom count; Stuttering; T1 CAT volume L IX,134
TLCD3A,Both (Shared),True,True,6,Body size or adipose distribution (multivariate analysis); General cognitive ability; Height; Hip circumference adjusted for BMI; Hip index; Waist circumference adjusted for body mass index,5
BRINP1,Both (Shared),True,True,119,Baseline memory in normal cognition; Body size at age 10; General cognitive ability; Glioblastoma; Glioma (high-grade); Memory decline; Smoking initiation (ever regular vs never regular); Smoking initiation (ever regular vs never regular) (MTAG); Smoking status; Uveal melanoma (TNM stage 1 or 2),121
LINC01613,Both (Shared),True,True,93,Baseline memory in normal cognition; Body size at age 10; Depressive symptoms; General cognitive ability; Memory decline; Perinatal depression; Response to ketamine in bipolar disorder or major depression (dissociation effects); Stuttering; Type 2 diabetes; Uveal melanoma (TNM stage 1 or 2),97
CTNNA2,Both (Shared),True,True,113,Drinks per week; General cognitive ability; Leucine-rich repeat transmembrane neuronal protein 1 levels; Lung function (FVC); Memory performance in cognitive impairment; Other non-epithelial cancer of skin (PheCode 172.2); REG1B/REG3A protein level ratio; Raw vegetable consumption; Smoking initiation (ever regular vs never regular) (MTAG); Smoking status,162
PPP2R2D,Both (Shared),True,True,44,C-reactive protein; C-reactive protein levels (UKB data field 30710); General cognitive ability; Height (baseline); Hematological traits (multi-trait analysis); Highest math class taken (MTAG); Mean corpuscular volume; Neutrophil count; Neutrophil-to-lymphocyte ratio; Self-reported math ability (MTAG),21
BNIP3,European-Only,True,False,25,CAMSIS occupational score (MTAG); General cognitive ability; Hematological traits (multi-trait analysis); Highest math class taken (MTAG); Intelligence (MTAG); Mean corpuscular hemoglobin; Neutrophil count; SIOPS occupational score (MTAG); Systolic blood pressure; White blood cell count,13
GAPDHP28,Both (Shared),True,True,23,Crystallized knowledge (multivariate analysis); FGFBP3 protein levels; Free androgen index; General cognitive ability; Height (baseline); Intelligence (MTAG); Migraine or fasting glucose levels; Personality traits or cognitive traits (multivariate analysis); Smoking initiation; Type 2 diabetes,19
FAF2P1,Both (Shared),True,True,21,Circulating CES1 levels; Crystallized knowledge (multivariate analysis); Educational attainment (MTAG); FGFBP3 protein levels; Free androgen index; General cognitive ability; Intelligence (MTAG); Personality traits or cognitive traits (multivariate analysis); Smoking initiation; Type 2 diabetes,17
MAPKAP1,Both (Shared),True,True,63,"Broad bean liking; F-salad vegetables liking (derived food-liking factor); General cognitive ability; Heart rate response to beta blockers (atenolol monotherapy); Height (baseline); Highest math class taken (MTAG); Smoking cessation; Smoking initiation (MTAG); Smoking status; potassium (minimum, inv-norm transformed)",51
ARHGEF12,Both (Shared),True,True,74,Body surface area; Corneal resistance factor (MTAG); Glaucoma (high intraocular pressure); Heel bone mineral density; Height (baseline); Hematological traits (multi-trait analysis); Ischemic heart disease (PheCode 411); Neutrophil count; Red blood cell count; Whole body fat free mass (UKB data field 23101),62
SORCS3,Both (Shared),True,True,132,Depressive symptoms; Frailty (Factor 3 - Multimorbidity); General cognitive ability; Neuropsychiatric disorders; Non-alcoholic fatty liver disease activity score in non-alcoholic fatty liver disease; Reaction time; Smoking initiation (ever regular vs never regular); Smoking initiation (ever regular vs never regular) (MTAG); Smoking status; Treatment or medication use - amlodipine (UKB data field 20003_1140879802),131
ABCB9,Both (Shared),True,True,32,A body shape index; General cognitive ability; Height (baseline); Physical function (baseline); Triiodothyronine levels and thyroxine levels; Type 2 diabetes; Venous thromboembolism; Waist circumference adjusted for body mass index; Waist-to-hip ratio adjusted for BMI; Waist-to-hip ratio adjusted for BMI (additive genetic model),22
LINC01122,Both (Shared),True,True,292,"Baseline memory in normal cognition; F-savoury food liking (derived food-liking factor); F-small fish liking (derived food-liking factor); Fluid intelligence; Hematological traits (multi-trait analysis); Lung function (FVC); Reaction time; Smoking initiation (ever regular vs never regular) (MTAG); Smoking status; mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)",288
PRELID1P1,Both (Shared),True,True,59,BA-exvivo rh volume V1; Diabetes mellitus (PheCode 250); Lung function (FVC); Parsopercularis area (unadjusted for global measures); QRS duration; Red blood cell count; Takes medication for Diabetes/sugar?; Type 2 diabetes (PheCode 250.2); Waist-to-hip ratio adjusted for BMI; aparc-DKTatlas rh area cuneus,14
RPS4XP9,Both (Shared),True,True,343,"Bone mineral density (femoral neck); Bone mineral density (paediatric, upper limb); Cholesterol in Medium LDL; Free androgen index; Glioblastoma; Hematological traits (multi-trait analysis); Lung function (FVC); T1 FreeSurfer DK rh pericalcarine area; T1 FreeSurfer a2009s rh S calcarine volume; Total cholesterol minus HDL-C levels",249
GABRA2,Both (Shared),True,True,32,"Alzheimer disease and age of onset; Body mass index (BMI, maximum, inv-normal transformed); Cognitive processing speed; Drinks per week; Epilepsy; General cognitive ability; General risk tolerance (MTAG); Glioblastoma; Personality traits or cognitive traits (multivariate analysis); Weight (maximum, inv-normal transformed)",26
LINC02055,Both (Shared),True,True,46,Free Cholesterol to Cholesteryl Esters in Small HDL ratio; General cognitive ability; Infection/inflammation of internal prosthetic device; implant; and graft (PheCode 81); Personality traits or cognitive traits (multivariate analysis); Plasma factor VII activating protease levels; Reaction time; Self-reported math ability (MTAG); Serum O-methylascorbate levels  x sex interaction; Suicide behavior; X-23587 levels,50
MIR29B2CHG,Both (Shared),True,True,113,"Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile); Brain morphology (MOSTest); CBLIF protein levels; Circulating NCR1 levels (id: OID00816_OID20566); Early age-related macular degeneration; General cognitive ability; Heart rate; Myeloid white cell count; Reaction time; white blood cell count (WBC, minimum, inv-norm transformed)",79
RNU6-420P,Both (Shared),True,True,24,Bioavailable testosterone levels; Body mass index (aged 64-69 years); Bone mineral density mean; Free androgen index; Free testosterone levels; General cognitive ability; Highest math class taken (MTAG); Memory decline; Memory decline (excluding comorbidities); Stuttering,23
ADGRA3,Both (Shared),True,True,22,Alzheimer's disease or family history of Alzheimer's disease; Body mass index (aged 64-69 years); Educational attainment (years of education); General cognitive ability; Gut microbial network clusters (Salmon (at 1 year) x Household furry pet dog (1 Year) interaction; Highest math class taken (MTAG); OTU99_8 (Ruminococcaceae) abundance; Pre-treatment viral load in HIV-1 infection; Stuttering; X-16935 levels,23
PIP5K1B,Both (Shared),True,True,61,"Circulating FGF23 levels (id: OID00507_OID21411); Estimated glomerular filtration rate (creatinine); General cognitive ability; Glomerular filtration rate (creatinine); Glomerular filtration rate in non diabetics (creatinine); Kynurenate levels; Serum urate levels; Serum uric acid levels; creatinine (mean, inv-norm transformed); estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed)",34
TEAD1,Both (Shared),True,True,88,Astrocytoma; Crystallized knowledge (multivariate analysis); Forced expiratory volume in 1 second (FEV1); General cognitive ability; Glioblastoma; Hematological traits (multi-trait analysis); Intelligence (MTAG); Lung function (FVC); Rheumatic heart disease; Weight,83
LINC02233,Both (Shared),True,True,34,Alcohol use frequency in adolescence; Bone mineral density mean; Chloroflexales abundance in stool; Electrocardiogram morphology (amplitude at temporal datapoints); General cognitive ability; High myopia; Highest math class taken (MTAG); Rate of cognitive decline in Alzheimer's disease; Red blood cell count; Self-reported math ability (MTAG),35
RABGAP1L,Both (Shared),True,True,86,"Crystallized knowledge (multivariate analysis); Drinks per week; General cognitive ability; Height; Hematological traits (multi-trait analysis); Left-hemisphere default mode network to caudate white-matter structural connectivity; Reaction time; Weight; Weight (minimum, inv-normal transformed); white blood cell count (WBC, minimum, inv-norm transformed)",150
CRIM1,Both (Shared),True,True,68,Circulating CRIM1 levels; FEV1/FVC ratio; Forced expiratory volume in 1 second (FEV1); General cognitive ability; Height (baseline); Lung function (FVC); Metabolic syndrome; Morningness; QRS duration; Serum uric acid levels,83
CDH4,Both (Shared),True,True,75,"&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels; Alzheimer's disease or gastroesophageal reflux disease; COVID-19; COVID-19 (covid vs negative); Cognitive decline rate in late mild cognitive impairment; Drinks per week; Glioblastoma; Highest math class taken (MTAG); Peptic ulcer, site unspecified (PheCode 531.4); Spread type: Butter/spreadable butter (UKB data field 1428_1)",84
ZBTB45,Both (Shared),True,True,12,CRYBB2 protein levels; Cognitive performance (MTAG); Free Cholesterol to Total Lipids in Large HDL percentage; General cognitive ability; Height; Highest math class taken (MTAG); Self-reported math ability; Self-reported math ability (MTAG); Sex hormone-binding globulin levels; Sex hormone-binding globulin levels adjusted for BMI,9
ACTB,Both (Shared),True,True,25,General cognitive ability; Glioblastoma; Mean corpuscular hemoglobin; Preeclampsia in nulliparas; Reticulocyte count; Reticulocyte fraction of red cells; Self-reported math ability (MTAG); Triglyceride levels (MTAG); Triglyceride to HDL cholesterol ratio; Waist-to-hip ratio adjusted for BMI,23
FSCN1,Both (Shared),True,True,8,AUC at steady-state of apixaban; Alzheimer's disease or family history of Alzheimer's disease; Cmax at steady-state of apixaban; General cognitive ability; Glioblastoma; Gut microbial network clusters (Cyan (at 3 months) x Any Breastfeeding (3 Months) interaction; Preeclampsia in nulliparas; White blood cell count,8
XKR9,Both (Shared),True,True,63,Anxious temperament; Femoral neck bone mineral density; General cognitive ability; Heel bone mineral density; Hip shape mode 3; LACTB2 protein levels; LACTB2/QDPR protein level ratio; Lung function (FVC); Meniere's disease; Waist-to-hip ratio adjusted for BMI,67
EYA1,Both (Shared),True,True,194,Chronic obstructive pulmonary disease-related biomarkers; Circulating FABP2 levels; General cognitive ability; Hip shape mode 3; LACTB2 protein levels; Late-onset myasthenia gravis; Sex hormone-binding globulin levels adjusted for BMI; Vertical cup-disc ratio; Vertical cup-disc ratio (multi-trait analysis); Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),154
KCNN2,Both (Shared),True,True,64,Alzheimer disease and age of onset; Atrial fibrillation (MTAG); General cognitive ability; Gestational duration; Gut microbial network clusters (Pink (at 1 year) x Household furry pet dog (1 Year) interaction; HGF levels; Height (baseline); Highest math class taken (MTAG); Hip shape mode 8; Self-reported math ability (MTAG),71
C12orf75,Both (Shared),True,True,28,Ascending aorta diameter; Bacteroides sp002160055 abundance in stool; COVID-19; Carotid plaque burden; Corrected insulin response; Cortical surface area; Diastolic blood pressure (MTAG); General cognitive ability; Postcentral gyrus volume; Serum total protein levels,23
CASC18,Both (Shared),True,True,39,Alzheimer's disease biomarkers; COVID-19; Carotid plaque burden; Corrected insulin response; General cognitive ability; Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 3 months) x Spring Birth (Mar-May) interaction; Height (baseline); Night sleep phenotypes; Preeclampsia in nulliparas; Type 2 diabetes,48
NLRP12,Both (Shared),True,True,565,APEX1 protein levels; BAG4 protein levels; Cartilage intermediate layer protein 1 levels (CILP.5717.2.3); HNMT protein levels; Hematological traits (multi-trait analysis); Interleukin-18 levels; Mothers against decapentaplegic homolog 2 levels (SMAD2.10364.6.3); Neutrophil side scatter distribution width; Structural maintenance of chromosomes protein 3 levels (SMC3.14324.52.3); Ubiquitin carboxyl-terminal hydrolase 8 levels (USP8.13450.49.3),135
MYADM-AS1,European-Only,True,False,121,APBB1IP protein levels; BAG4 protein levels; Circulating APEX1 levels; Ena/VASP-like protein levels (EVL.11656.110.3); Interleukin-18 levels; Kynurenine--oxoglutarate transaminase 3 levels (CCBL2.12682.5.3); L-lactate dehydrogenase B chain levels (LDHB.3890.8.2); MAP kinase-activated protein kinase 3 levels (MAPKAPK3.3822.54.2); N-acetyltransferase 14 levels (NAT14.11120.49.3); Phosducin-like protein 2 levels (PDCL2.14192.31.3),71
C7,Both (Shared),True,True,124,Blood cell traits latent factor 18 (platelet); Desmoglein-1 levels (DSG1.2976.58.2); Mast cell-expressed membrane protein 1 levels (MCEMP1.6283.60.3); Protocadherin beta-4 levels (PCDHB4.10522.167.3); Secreted frizzled-related protein 3 levels (FRZB.13740.51.3); Serum levels of protein ADGRE5; Serum levels of protein RAB5C; Serum levels of protein ZAP70; Tyrosine-protein kinase ZAP-70 levels (ZAP70.4476.22.2); Zinc-alpha-2-glycoprotein levels (AZGP1.9312.8.3),29
APOC1,Both (Shared),True,True,1414,Cerebrospinal fluid t-tau levels in controls; Cholesterol to Total Lipids in Very Large VLDL percentage; Cholesterol to total lipids in medium LDL percentage (UKB data field 23620); Cholesteryl esters in large HDL (UKB data field 23562); Linoleic acid levels (UKB data field 23449); Memory performance in cognitive impairment; RHOC/SRC protein level ratio; SMOC1 protein levels; Sphingomyelin_38:1_[M+H]1+ levels; Triacylglycerol 54:1(FA18:0) (Model 1),71
B4GALT1,Both (Shared),True,True,156,ACP5 protein levels; ANGPTL7 protein levels; CD33 protein levels; Circulating TNFSF12 levels (id: OID00555_OID20624); Gut microbial network clusters (Pink (at 1 year) x Homesmokers interaction; PLA2G15/PRCP protein level ratio; SIGLEC1 protein levels; SIGLEC9 protein levels; SLAMF7 protein levels; Serum uric acid levels,85
UBE2D3,Both (Shared),True,True,53,"Bioavailable testosterone levels; Diabetes mellitus (PheCode 250); Estimated glomerular filtration rate (creatinine); GPC1 protein levels; Hematological traits (multi-trait analysis); Hemoglobin A1c levels; Migraine or glucose levels; Pallidum iron levels (quantitative susceptibility mapping); Type 2 diabetes (PheCode 250.2); estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed)",34
RPL23AP61,European-Only,True,False,8,Beta-microseminoprotein levels (MSMB.10620.21.3); Blood protein levels; Cancer; Circulating MSMB levels; MSMB protein levels; Prostate cancer; Prostate cancer (late onset); Thalamus iron levels (quantitative susceptibility mapping),15
AGAP7P,Both (Shared),True,True,19,"Beta-microseminoprotein levels; Cancer of prostate (PheCode 185); Hematological traits (multi-trait analysis); Mean corpuscular hemoglobin; Mean corpuscular volume; Prostate cancer; Prostate cancer (late onset); prostate-specific antigen (PSA, maximum, inv-norm transformed); prostate-specific antigen (PSA, mean, inv-norm transformed); prostate-specific antigen (PSA, minimum, inv-norm transformed)",31
MSMB,Both (Shared),True,True,29,Beta-microseminoprotein levels; Cancer of prostate (PheCode 185); Cerebrospinal fluid protein MSMB levels; Circulating CRISP2 levels; Developmental stuttering; Prostate cancer; Prostate cancer (early onset); Prostate cancer (late onset); Secretory phospholipase A2 receptor protein levels (SomaScan ID:10620-21); Serum prostate-specific antigen levels,13
CPN2,Both (Shared),True,True,53,Beta-defensin 1 levels (DEFB1.6629.3.3); Carboxypeptidase N subunit 2 levels; Circulating TNFRSF11B levels (id: OID00571_OID20735); Complement factor H-related protein 1 levels; FGFBP3 protein levels; Height (baseline); Interleukin-27 levels; Protein FAM163B levels; Serum levels of protein DEFB1; TNF-related activation-induced cytokine levels,20
GS1-24F4.2,Both (Shared),True,True,39,Basophil percentage of white cells; Basophil percentage of white cells variance; Beta-defensin 1 levels (DEFB1.6629.3.3); Blood cell traits latent factor 22 (white cell); Hematological traits (multi-trait analysis); Neutrophil count; Neutrophil side scatter; Neutrophil side scatter distribution width; PYDC1 protein levels; Serum levels of protein DEFB1,61
ZNF705G,European-Only,True,False,4,Beta-defensin 104 levels (DEFB104A.5763.67.3); DEFB104A or DEFB104B protein levels; Hematological traits (multi-trait analysis); Neutrophil side fluorescence,6
VTN,Both (Shared),True,True,1243,Cholesterol to Total Lipids in Very Large VLDL percentage; Complement C1q and tumor necrosis factor-related protein 9A levels; Fibroblast growth factor receptor-like 1 levels; MILR1 protein levels; Serum levels of protein CLEC2D; Serum levels of protein LDOC1; Serum levels of protein RBBP9; Serum levels of protein TCP11; Serum levels of protein VSTM5; T-box transcription factor TBX5 levels,2
SARM1,Both (Shared),True,True,1328,Cholesterol to Total Lipids in Very Large VLDL percentage; Complement C1q and tumor necrosis factor-related protein 9A levels; Fibroblast growth factor receptor-like 1 levels; MILR1 protein levels; Serum levels of protein CLEC2D; Serum levels of protein LDOC1; Serum levels of protein RBBP9; Serum levels of protein TCP11; Serum levels of protein VSTM5; T-box transcription factor TBX5 levels,26
IGHV3-25,European-Only,True,False,2,Beta-defensin 112 levels (DEFB112.5689.1.3); GH2 protein levels,2
IGHVIII-25-1,European-Only,True,False,4,Beta-defensin 112 levels; Beta-defensin 112 levels (DEFB112.5689.1.3); GH2 protein levels; Urinary uromodulin levels (raw),4
APOE,Both (Shared),True,True,2208,CTSF protein levels; Cholesterol to Total Lipids in Very Large VLDL percentage; Cholesteryl esters (FA18:0) (Model 1); Cholesteryl esters in large HDL (UKB data field 23562); Cholesteryl esters to total lipids ratio in medium LDL; F-carbohydrate liking (derived food-liking factor); Linoleic acid levels (UKB data field 23449); Memory performance in cognitive impairment; RHOC/SRC protein level ratio; Sphingomyelin_38:1_[M+H]1+ levels,41
PPBPP1,European-Only,True,False,27,C-X-C motif chemokine 6 levels; Neutrophil count; Platelet factor 4 variant levels; Serum levels of protein CREBBP; Serum levels of protein EIF4EBP2; Serum levels of protein ID2; Serum levels of protein PGK1; Serum levels of protein PSG5; Serum levels of protein RAB39B; Serum levels of protein TNFAIP8,6
